A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
688260,-,昀冢科技,昀冢科技,"Suzhou Gyz Electronic Technology Co., Ltd.",20210406
688261,-,东微半导,东微半导体,SUZHOU ORIENTAL SEMICONDUCTOR COMPANY LIMITED,20220210
688262,-,国芯科技,苏州国芯科技,"C*CORE TECHNOLOGY CO., LTD.",20220106
688265,-,南模生物,南方模式生物,"SHANGHAI MODEL ORGANISMS CENTER, INC.",20211228
688266,-,泽璟制药,泽璟制药,"Suzhou Zelgen Biopharmaceuticals Co., Ltd.",20200123
688267,-,中触媒,中触媒股份,"CHINA CATALYST HOLDING CO.,LTD.",20220216
688268,-,华特气体,广东华特气体,"Guangdong Huate Gas Co., Ltd",20191226
688269,-,凯立新材,西安凯立新材,"Kaili Catalyst & New Materials Co.,Ltd",20210609
688270,-,臻镭科技,浙江臻镭科技股份,"GREAT MICROWAVE TECHNOLOGY CO.,LTD.",20220127
688271,-,联影医疗,联影医疗,"SHANGHAI UNITED IMAGING HEALTHCARE CO., LTD.",20220822
688272,-,*ST富吉,*ST富吉瑞光电,"Beijing Fjr Optoelectronic Technology Co., Ltd.",20211018
688273,-,麦澜德,麦澜德医疗,"NANJING MEDLANDER MEDICAL TECHNOLOGY CO.,LTD.",20220811
688275,-,万润新能,万润新能源,"HUBEI WANRUN NEW ENERGY TECHNOLOGY CO.,LTD.",20220929
688276,-,百克生物,长春百克生物科技,Changchun Bcht Biotechnology Co.,20210625
688277,-,天智航,天智航医疗,"Tinavi Medical Technologies Co.,Ltd.",20200707
688278,-,特宝生物,特宝生物,"Xiamen Amoytop Biotech Co., Ltd.",20200117
688279,-,峰岹科技,峰岹科技,"FORTIOR TECHNOLOGY(SHENZHEN)CO., LTD.",20220420
688280,-,精进电动,精进电动,"JING-JIN ELECTRIC TECHNOLOGIES CO., LTD.",20211027
688281,-,华秦科技,华秦科技实业,"SHAANXI HUAQIN TECHNOLOGY INDUSTRY CO., LTD.",20220307
688282,-,理工导航,理工导航,"BEIJING NAVIGATION CONTROL TECHNOLOGY CO.,LTD.",20220318
688283,-,坤恒顺维,坤恒顺维,"CHENGDU KSW TECHNOLOGIES CO.,LTD.",20220215
