板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
创业板,浙江华是科技股份有限公司,"Zhejiang Whyis Technology Co.,Ltd.",浙江省杭州市余杭区闲林街道嘉企路16号3幢1楼,301218,华是科技,2022-03-07,"114,040,000","56,040,468",,,,0,0,华东,浙江,杭州市,I 信息技术,www.zjwhyis.com,否,否,否
创业板,赣州腾远钴业新材料股份有限公司,"GANZHOU TENGYUAN COBALT NEW MATERIAL CO., LTD.",江西省赣州市赣县区赣州高新技术产业开发区稀金大道9号,301219,腾远钴业,2022-03-17,"294,717,182","166,273,772",,,,0,0,华东,江西,赣州市,C 制造业,www.tycogz.com,否,否,否
创业板,昆山亚香香料股份有限公司,"Kunshan Asia Aroma Corp., Ltd.",江苏省苏州市昆山市千灯镇汶浦中路269号,301220,亚香股份,2022-06-22,"80,800,000","42,152,331",,,,0,0,华东,江苏,苏州市,C 制造业,www.asiaaroma.com,否,否,否
创业板,武汉光庭信息技术股份有限公司,"Wuhan Kotei Informatics Co.,Ltd.",湖北省武汉东湖新技术开发区港边田一路6号(自贸区武汉片区),301221,光庭信息,2021-12-22,"92,622,300","43,506,800",,,,0,0,华中,湖北,武汉市,I 信息技术,www.kotei-info.com,否,否,否
创业板,浙江恒威电池股份有限公司,"Zhejiang Hengwei Battery Co.,Ltd.",浙江省嘉兴市秀洲区油车港正阳西路77号,301222,浙江恒威,2022-03-09,"101,333,400","29,145,900",,,,0,0,华东,浙江,嘉兴市,C 制造业,www.hwbattery.com,否,否,否
创业板,中荣印刷集团股份有限公司,"ZRP Printing Group Co., LTD.",广东省中山市火炬开发区沿江东三路28号,301223,中荣股份,2022-10-26,"193,127,560","48,300,000",,,,0,0,华南,广东,中山市,C 制造业,www.zrp.com.cn,否,否,否
创业板,恒勃控股股份有限公司,"Hengbo Holdings Co., LTD.",浙江省台州市海昌路1500号,301225,恒勃股份,2023-06-16,"103,380,000","23,639,255",,,,0,0,华东,浙江,台州市,C 制造业,www.chinahengbo.com,否,否,否
创业板,常州祥明智能动力股份有限公司,Changzhou Xiangming Intelligent Drive System Corporation,江苏省常州市中吴大道518号,301226,祥明智能,2022-03-25,"108,800,000","49,079,864",,,,0,0,华东,江苏,常州市,C 制造业,www.xiangming.com,否,否,否
创业板,哈尔滨森鹰窗业股份有限公司,"Harbin Sayyas Windows Co., Ltd.",黑龙江省哈尔滨市南岗区王岗镇新农路9号,301227,森鹰窗业,2022-09-26,"94,800,000","23,373,074",,,,0,0,东北,黑龙江,哈尔滨市,C 制造业,www.sayyas.com,否,否,否
创业板,实朴检测技术（上海）股份有限公司,"SEP ANALYTICAL (SHANGHAI) CO., LTD.",上海市闵行区中春路1288号25幢、34幢,301228,实朴检测,2022-01-28,"120,000,000","54,864,980",,,,0,0,华东,上海,上海市,M 科研服务,www.sepchina.cn,否,否,否
创业板,江苏纽泰格科技集团股份有限公司,"Jiangsu New Technology Group Co.,Ltd.",江苏省淮安市淮阴经济开发区松江路161号,301229,纽泰格,2022-02-22,"80,000,000","33,346,691",,,,0,0,华东,江苏,淮安市,C 制造业,www.jsntg.com,否,否,否
创业板,上海泓博智源医药股份有限公司,"PharmaResources (Shanghai) Co., Ltd.",上海市浦东新区庆达路315号23幢,301230,泓博医药,2022-11-01,"107,622,666","24,255,000",,,,0,0,华东,上海,上海市,M 科研服务,www.pharmaresources.cn,否,否,否
创业板,荣信教育文化产业发展股份有限公司,Ronshin Group,陕西省西安市高新区软件新城天谷八路西安国家数字出版基地南区三栋,301231,荣信文化,2022-09-08,"84,400,000","21,100,000",,,,0,0,西北,陕西,西安市,R 文化传播,www.lelequ.com,否,否,否
创业板,湖南飞沃新能源科技股份有限公司,"Finework(Hunan)New Energy Technology Co.,Ltd.",湖南省常德市桃源县陬市镇观音桥村二组（大华工业园内）,301232,飞沃科技,2023-06-15,"53,687,391","12,772,998",,,,0,0,华中,湖南,常德市,C 制造业,www.hnfinework.com,否,否,否
创业板,成都盛帮密封件股份有限公司,"Chengdu Shengbang Seals Co., Ltd.",四川省成都市双流区西南航空港经济开发区空港二路1388号,301233,盛帮股份,2022-07-06,"51,470,000","18,330,300",,,,0,0,西南,四川,成都市,C 制造业,www.chsbs.com,否,否,否
