Date,Stock:Close:00003,Stock:Close:00101,Stock:Close:00338,Stock:Close:01083,Stock:Close:02800,Stock:Divident:00003,Stock:Divident:00101,Stock:Divident:00338,Stock:Divident:01083,Stock:Divident:02800,Stock:pd:00003,Stock:pd:00101,Stock:pd:00338,Stock:pd:01083,Stock:pd:02800
180101,9.5834,15.6392,3.3232,5.3824,33.1,0.35,0.75,0.25,0.12,0.93,3.6521,4.7956,7.5229,2.2295,2.8097
180201,9.5958,14.1281,3.2607,5.1937,31.1,0.35,0.75,0.25,0.12,0.93,3.6474,5.3086,7.6671,2.3105,2.9904
180301,9.9925,13.8108,3.3093,5.6039,30.4,0.35,0.75,0.25,0.12,0.93,3.5026,5.4305,7.5545,2.1414,3.0592
180401,10.1909,14.5366,3.6354,5.7598,31.05,0.35,0.75,0.25,0.12,0.9400000000000001,3.4344,5.1594,6.8768,2.0834,3.0274
180501,10.5132,13.8815,4.0169,6.3178,30.95,0.35,0.75,0.25,0.12,0.9400000000000001,3.3291,5.4029,6.2237,1.8994,3.0372
180601,10.3799,12.6181,3.5478,6.3708,29.45,0.35,0.75,0.3,0.15,0.9400000000000001,3.3719,5.9438,8.4559,2.3545,3.1919
180701,11.071,12.8677,3.4958,6.5299,29.3,0.35,0.75,0.3,0.15,0.9400000000000001,3.1614,5.8285,8.5817,2.2971,3.2082
180801,11.1677,12.0878,3.4216,6.0527,28.65,0.35,0.75,0.3,0.15,0.9400000000000001,3.134,6.2046,8.7678,2.4782,3.281
180901,10.8223,12.0685,3.5478,5.7346,28.65,0.35,0.75,0.3,0.15,0.9400000000000001,3.2341,6.2145,8.4559,2.6157,3.281
181001,10.4184,11.2008,2.5532,4.7718,25.05,0.35,0.75,0.3,0.15,0.9500000000000001,3.3594,6.696,11.75,3.1435,3.7924
181101,10.9894,12.4944,2.6349,5.1067,26.7,0.35,0.75,0.3,0.15,0.9500000000000001,3.1849,6.0027,11.3856,2.9373,3.5581
181201,11.2819,11.7687,2.5458,4.8639,26.05,0.35,0.75,0.3,0.15,0.9500000000000001,3.1023,6.3728,11.7841,3.0839,3.6468
190101,11.853,13.4883,2.7536,5.2239,28.15,0.35,0.75,0.3,0.15,0.9500000000000001,2.9528,5.5604,10.8948,2.8714,3.3748
190201,12.6608,14.6241,2.954,5.2407,28.9,0.35,0.75,0.3,0.15,0.9500000000000001,2.7644,5.1285,10.1557,2.8622,3.2872
190301,13.1065,15.1132,2.7759,5.1653,29.4,0.35,0.75,0.3,0.15,0.9500000000000001,2.6704,4.9625,10.8073,2.904,3.2313
190401,13.0369,14.5452,2.6349,5.2239,29.85,0.35,0.75,0.3,0.15,0.9400000000000001,2.6847,5.1563,11.3856,2.8714,3.1491
190501,13.4278,13.4415,2.5384,5.0785,27.35,0.35,0.75,0.3,0.15,0.9400000000000001,2.6065,5.5797,11.8185,2.9536,3.4369
190601,13.4278,15.1359,2.5095,4.8379,29.1,0.35,0.75,0.25,0.15,0.9400000000000001,2.6065,4.9551,9.9621,3.1005,3.2302
190701,13.4433,15.087,2.218,5.1387,28.5,0.35,0.75,0.25,0.15,0.9400000000000001,2.6035,4.9712,11.2714,2.919,3.2982
190801,11.7377,14.4353,1.8295,4.6575,26.5,0.35,0.75,0.25,0.15,0.9400000000000001,2.9818,5.1956,13.6649,3.2206,3.5472
190901,11.9382,14.638,1.8457,5.0528,26.95,0.35,0.75,0.25,0.15,0.9400000000000001,2.9318,5.1237,13.545,2.9687,3.4879
191001,11.8913,14.1939,1.7647,5.1988,27.05,0.35,0.75,0.25,0.15,0.93,2.9433,5.284,14.1667,2.8853,3.4381
191101,11.6569,13.1906,1.7566,4.752,26.5,0.35,0.75,0.25,0.15,0.93,3.0025,5.6859,14.232,3.1566,3.5094
191201,11.8913,14.0623,1.9023,4.6403,28.45,0.35,0.75,0.25,0.15,0.93,2.9433,5.3334,13.142,3.2325,3.2689
200101,11.6882,13.4538,1.6109,4.1505,26.5,0.35,0.75,0.25,0.15,0.93,2.9945,5.5746,15.5193,3.614,3.5094
200201,11.7194,13.9965,1.6109,3.8841,26.45,0.35,0.75,0.25,0.15,0.93,2.9865,5.3585,15.5193,3.8619,3.5161
200301,9.9849,12.9439,1.5543,3.2998,23.85,0.35,0.75,0.25,0.15,0.93,3.5053,5.7942,16.0844,4.5457,3.8994
200401,10.8287,13.6676,1.7242,3.3084,24.75,0.35,0.75,0.25,0.15,0.87,3.2322,5.4874,14.4995,4.5339,3.5152
200501,10.1881,13.9137,1.5462,3.1952,23.2,0.35,0.76,0.25,0.15,0.87,3.4354,5.4622,16.1687,4.6945,3.75
200601,10.0124,15.6721,1.6065,3.1326,24.9,0.35,0.76,0.12,0.15,0.87,3.4957,4.8494,7.4697,4.7884,3.494
